"","sl_cup_glmnet_2.coef","sl_cup_glmnet_2.cvRisk","sl_cup_glmnet_2.times.train.3."
"glmnet_0_10_TRUE_All",0.0605289879097779,3.72844658801001,12.2429999999986
"glmnet_0.1_10_TRUE_All",0,3.69693473705625,12.2429999999986
"glmnet_0.2_10_TRUE_All",0,3.69575113463509,12.2429999999986
"glmnet_0.6_10_TRUE_All",0,3.6961187650636,12.2429999999986
"glmnet_1_10_TRUE_All",0,3.69632819765034,12.2429999999986
"glmnet_0_20_TRUE_All",0,3.7279965790165,12.2429999999986
"glmnet_0.1_20_TRUE_All",0.385310299659054,3.69478028708692,12.2429999999986
"glmnet_0.2_20_TRUE_All",0,3.69608442181622,12.2429999999986
"glmnet_0.6_20_TRUE_All",0.554160712431169,3.69506554578148,12.2429999999986
"glmnet_1_20_TRUE_All",0,3.69735782635885,12.2429999999986
"glmnet_0_30_TRUE_All",0,3.72780491029479,12.2429999999986
"glmnet_0.1_30_TRUE_All",0,3.69640229915574,12.2429999999986
"glmnet_0.2_30_TRUE_All",0,3.69589933983608,12.2429999999986
"glmnet_0.6_30_TRUE_All",0,3.69610391744308,12.2429999999986
"glmnet_1_30_TRUE_All",0,3.69601693878665,12.2429999999986
"glmnet_0_40_TRUE_All",0,3.72772219939069,12.2429999999986
"glmnet_0.1_40_TRUE_All",0,3.6961914420779,12.2429999999986
"glmnet_0.2_40_TRUE_All",0,3.69663150635207,12.2429999999986
"glmnet_0.6_40_TRUE_All",0,3.69630534331023,12.2429999999986
"glmnet_1_40_TRUE_All",0,3.69674576536905,12.2429999999986
"glmnet_0_50_TRUE_All",0,3.72777970546816,12.2429999999986
"glmnet_0.1_50_TRUE_All",0,3.6958454388378,12.2429999999986
"glmnet_0.2_50_TRUE_All",0,3.69576911193196,12.2429999999986
"glmnet_0.6_50_TRUE_All",0,3.69611449811713,12.2429999999986
"glmnet_1_50_TRUE_All",0,3.69652506902289,12.2429999999986
"glmnet_0_60_TRUE_All",0,3.72780085511226,12.2429999999986
"glmnet_0.1_60_TRUE_All",0,3.69616312628814,12.2429999999986
"glmnet_0.2_60_TRUE_All",0,3.69640223849698,12.2429999999986
"glmnet_0.6_60_TRUE_All",0,3.69631824762946,12.2429999999986
"glmnet_1_60_TRUE_All",0,3.69676285902905,12.2429999999986
"glmnet_0_70_TRUE_All",0,3.72786922987425,12.2429999999986
"glmnet_0.1_70_TRUE_All",0,3.69647859777388,12.2429999999986
"glmnet_0.2_70_TRUE_All",0,3.69582046809323,12.2429999999986
"glmnet_0.6_70_TRUE_All",0,3.69625832158729,12.2429999999986
"glmnet_1_70_TRUE_All",0,3.69686617835141,12.2429999999986
"glmnet_0_80_TRUE_All",0,3.7278483388362,12.2429999999986
"glmnet_0.1_80_TRUE_All",0,3.69539728938048,12.2429999999986
"glmnet_0.2_80_TRUE_All",0,3.6963169725113,12.2429999999986
"glmnet_0.6_80_TRUE_All",0,3.69635310615312,12.2429999999986
"glmnet_1_80_TRUE_All",0,3.6969717567266,12.2429999999986
"glmnet_0_90_TRUE_All",0,3.72789156503799,12.2429999999986
"glmnet_0.1_90_TRUE_All",0,3.69618515037171,12.2429999999986
"glmnet_0.2_90_TRUE_All",0,3.69626577590722,12.2429999999986
"glmnet_0.6_90_TRUE_All",0,3.69633266670588,12.2429999999986
"glmnet_1_90_TRUE_All",0,3.69732383772439,12.2429999999986
"glmnet_0_100_TRUE_All",0,3.72781989892039,12.2429999999986
"glmnet_0.1_100_TRUE_All",0,3.6962691723375,12.2429999999986
"glmnet_0.2_100_TRUE_All",0,3.696568245154,12.2429999999986
"glmnet_0.6_100_TRUE_All",0,3.6965562609042,12.2429999999986
"glmnet_1_100_TRUE_All",0,3.69720124542884,12.2429999999986
