"","sl_cup_glmnet_2.coef","sl_cup_glmnet_2.cvRisk"
"glmnet_1_1000_TRUE_All",0,3.7048541380529
"glmnet_0_100_FALSE_All",0,3.89840416510347
"glmnet_0.1_100_FALSE_All",0,3.87116053412461
"glmnet_0.2_100_FALSE_All",0,3.87809431647223
"glmnet_0.3_100_FALSE_All",0,3.88320825427478
"glmnet_0.4_100_FALSE_All",0,3.86894052339618
"glmnet_0.5_100_FALSE_All",0,3.87688241361754
"glmnet_0.6_100_FALSE_All",0,3.85520913064063
"glmnet_0.7_100_FALSE_All",0,3.83182962291353
"glmnet_0.8_100_FALSE_All",0,3.8798410821896
"glmnet_0.9_100_FALSE_All",0,3.87217365301639
"glmnet_1_100_FALSE_All",0,3.87088966740672
"glmnet_0_200_FALSE_All",0,3.91552071373494
"glmnet_0.1_200_FALSE_All",0,3.90265515726186
"glmnet_0.2_200_FALSE_All",0,3.87265648407271
"glmnet_0.3_200_FALSE_All",0,3.89216348116436
"glmnet_0.4_200_FALSE_All",0,3.87567718488542
"glmnet_0.5_200_FALSE_All",0,3.88818130745356
"glmnet_0.6_200_FALSE_All",0,3.88984103404845
"glmnet_0.7_200_FALSE_All",0,3.8854724382933
"glmnet_0.8_200_FALSE_All",0,3.89945760553481
"glmnet_0.9_200_FALSE_All",0,3.89089334028563
"glmnet_1_200_FALSE_All",0,3.88261518796842
"glmnet_0_300_FALSE_All",0,3.90775359924817
"glmnet_0.1_300_FALSE_All",0.023570548475636,3.86538886377177
"glmnet_0.2_300_FALSE_All",0,3.86956305643761
"glmnet_0.3_300_FALSE_All",0,3.88408269479852
"glmnet_0.4_300_FALSE_All",0,3.8826725491588
"glmnet_0.5_300_FALSE_All",0,3.8990564025167
"glmnet_0.6_300_FALSE_All",0,3.89757561575618
"glmnet_0.7_300_FALSE_All",0,3.86955734717901
"glmnet_0.8_300_FALSE_All",0,3.88269712637563
"glmnet_0.9_300_FALSE_All",0,3.87650588165783
"glmnet_1_300_FALSE_All",0,3.8853120108037
"glmnet_0_400_FALSE_All",0,3.91044191357456
"glmnet_0.1_400_FALSE_All",0,3.8691481327517
"glmnet_0.2_400_FALSE_All",0,3.89262842908531
"glmnet_0.3_400_FALSE_All",0,3.90064012977453
"glmnet_0.4_400_FALSE_All",0,3.87552098652827
"glmnet_0.5_400_FALSE_All",0,3.88950878756235
"glmnet_0.6_400_FALSE_All",0,3.88149393783918
"glmnet_0.7_400_FALSE_All",0,3.86709845270844
"glmnet_0.8_400_FALSE_All",0,3.88042593946006
"glmnet_0.9_400_FALSE_All",0,3.90778214421538
"glmnet_1_400_FALSE_All",0,3.85408365200145
"glmnet_0_500_FALSE_All",0,3.92408663007411
"glmnet_0.1_500_FALSE_All",0,3.86839176747975
"glmnet_0.2_500_FALSE_All",0,3.89498323140105
"glmnet_0.3_500_FALSE_All",0,3.8896358401759
"glmnet_0.4_500_FALSE_All",0,3.88812581926707
"glmnet_0.5_500_FALSE_All",0,3.9016818465555
"glmnet_0.6_500_FALSE_All",0,3.89861168740222
"glmnet_0.7_500_FALSE_All",0,3.88269826367445
"glmnet_0.8_500_FALSE_All",0,3.87381032483299
"glmnet_0.9_500_FALSE_All",0,3.91898978811215
"glmnet_1_500_FALSE_All",0,3.92008863450448
"glmnet_0_600_FALSE_All",0,3.92960148998468
"glmnet_0.1_600_FALSE_All",0,3.88551563717525
"glmnet_0.2_600_FALSE_All",0,3.88025053149411
"glmnet_0.3_600_FALSE_All",0,3.86570857019206
"glmnet_0.4_600_FALSE_All",0,3.87459742738203
"glmnet_0.5_600_FALSE_All",0,3.90595956723935
"glmnet_0.6_600_FALSE_All",0,3.88362343089222
"glmnet_0.7_600_FALSE_All",0,3.8826460454259
"glmnet_0.8_600_FALSE_All",0,3.88932755090788
"glmnet_0.9_600_FALSE_All",0,3.88438199495332
"glmnet_1_600_FALSE_All",0,3.89613611981699
"glmnet_0_700_FALSE_All",0,3.89369388352288
"glmnet_0.1_700_FALSE_All",0,3.88028683696867
"glmnet_0.2_700_FALSE_All",0,3.9144155563935
"glmnet_0.3_700_FALSE_All",0,3.86948250483734
"glmnet_0.4_700_FALSE_All",0,3.91033922173794
"glmnet_0.5_700_FALSE_All",0,3.89150611368146
"glmnet_0.6_700_FALSE_All",0,3.88846350217374
"glmnet_0.7_700_FALSE_All",0,3.8789272056218
"glmnet_0.8_700_FALSE_All",0,3.87971721281666
"glmnet_0.9_700_FALSE_All",0,3.87158729775293
"glmnet_1_700_FALSE_All",0,3.86403595959926
"glmnet_0_800_FALSE_All",0,3.93143895269985
"glmnet_0.1_800_FALSE_All",0,3.90069082780612
"glmnet_0.2_800_FALSE_All",0,3.88404283193069
"glmnet_0.3_800_FALSE_All",0,3.87192736983546
"glmnet_0.4_800_FALSE_All",0,3.89233645954294
"glmnet_0.5_800_FALSE_All",0,3.89789893808924
"glmnet_0.6_800_FALSE_All",0,3.91091684158421
"glmnet_0.7_800_FALSE_All",0,3.87668660979375
"glmnet_0.8_800_FALSE_All",0,3.92162092051995
"glmnet_0.9_800_FALSE_All",0,3.89561070846039
"glmnet_1_800_FALSE_All",0,3.88489899017585
"glmnet_0_900_FALSE_All",0,3.96036977226346
"glmnet_0.1_900_FALSE_All",0,3.89770754694646
"glmnet_0.2_900_FALSE_All",0,3.92298650909624
"glmnet_0.3_900_FALSE_All",0,3.88191945378144
"glmnet_0.4_900_FALSE_All",0,3.88996121059421
"glmnet_0.5_900_FALSE_All",0,3.85747481026132
"glmnet_0.6_900_FALSE_All",0,3.90859565503713
"glmnet_0.7_900_FALSE_All",0,3.88861794765576
"glmnet_0.8_900_FALSE_All",0,3.86590854616657
"glmnet_0.9_900_FALSE_All",0,3.87684517379142
"glmnet_1_900_FALSE_All",0,3.87761750998553
"glmnet_0_1000_FALSE_All",0,3.94208249824407
"glmnet_0.1_1000_FALSE_All",0,3.88176969897672
"glmnet_0.2_1000_FALSE_All",0,3.92151831687612
"glmnet_0.3_1000_FALSE_All",0,3.88777640244439
"glmnet_0.4_1000_FALSE_All",0,3.90354457839419
"glmnet_0.5_1000_FALSE_All",0,3.88248532642223
"glmnet_0.6_1000_FALSE_All",0,3.91105283306746
"glmnet_0.7_1000_FALSE_All",0,3.9114532128095
"glmnet_0.8_1000_FALSE_All",0,3.91744909893431
"glmnet_0.9_1000_FALSE_All",0,3.88679298790334
"glmnet_1_1000_FALSE_All",0,3.87162152769055
