"","sl_cup_2_best.coef","sl_cup_2_best.cvRisk","sl_cup_2_best.times.train.3."
"ranger_250_3_All",0.472496928739194,2.33579279186821,99.8430000000008
"ranger_500_3_All",0,2.34308384333152,99.8430000000008
"ranger_750_3_All",0,2.3453105710485,99.8430000000008
"ranger_1000_3_All",0,2.34301993002197,99.8430000000008
"ranger_1750_3_All",0,2.34686329719477,99.8430000000008
"ranger_2000_3_All",0,2.34926097168326,99.8430000000008
"ranger_2500_3_All",0,2.34836170791101,99.8430000000008
"ranger_3000_3_All",0,2.3483370364857,99.8430000000008
"ksvm_rbfdot_2.5_1_All",0,2.33674946147786,99.8430000000008
"ksvm_rbfdot_0.001_1_All",0,2.32959715716583,99.8430000000008
"ksvm_rbfdot_0.2_1_All",0,2.32475476719563,99.8430000000008
"ksvm_rbfdot_3.5_1_All",0,2.33426920218019,99.8430000000008
"ksvm_rbfdot_2.5_2_All",0,2.36046244923096,99.8430000000008
"ksvm_rbfdot_0.001_2_All",0,2.36010762117232,99.8430000000008
"ksvm_rbfdot_0.2_2_All",0,2.36127926133091,99.8430000000008
"ksvm_rbfdot_3.5_2_All",0,2.35445061249254,99.8430000000008
"ksvm_rbfdot_2.5_3_All",0,2.3910429564961,99.8430000000008
"ksvm_rbfdot_0.001_3_All",0.283860971809692,2.37439492670696,99.8430000000008
"ksvm_rbfdot_0.2_3_All",0,2.38717312300039,99.8430000000008
"ksvm_rbfdot_3.5_3_All",0,2.38214053912881,99.8430000000008
"ksvm_rbfdot_2.5_0.7_All",0,2.32982420146586,99.8430000000008
"ksvm_rbfdot_0.001_0.7_All",0,2.3444642588658,99.8430000000008
"ksvm_rbfdot_0.2_0.7_All",0,2.34044571269568,99.8430000000008
"ksvm_rbfdot_3.5_0.7_All",0.229703104100576,2.3254691014285,99.8430000000008
"glmnet_0.1_80_TRUE_All",0,3.70118225811843,99.8430000000008
"glmnet_0.1_20_TRUE_All",0,3.70192190286908,99.8430000000008
"glmnet_0.1_50_TRUE_All",0,3.70022915804601,99.8430000000008
"glmnet_0.1_90_TRUE_All",0,3.70008400776947,99.8430000000008
"glmnet_0.6_20_TRUE_All",0.0139389953505377,3.70123668174299,99.8430000000008
"glmnet_0.6_60_TRUE_All",0,3.7015507222504,99.8430000000008
"glmnet_0.3_100_TRUE_All",0,3.70141029886867,99.8430000000008
