"","sl_cup_ranger_2.coef","sl_cup_ranger_2.cvRisk","sl_cup_ranger_2.times.train.3."
"ranger_250_1_All",0,2.53522231250643,2085.998
"ranger_350_1_All",0,2.49840900067834,2085.998
"ranger_500_1_All",0,2.51411973397858,2085.998
"ranger_1000_1_All",0,2.46285682314397,2085.998
"ranger_1500_1_All",0,2.47911303696619,2085.998
"ranger_2000_1_All",0,2.48297126872765,2085.998
"ranger_2500_1_All",0,2.48298711656028,2085.998
"ranger_3000_1_All",0,2.47997481253427,2085.998
"ranger_4000_1_All",0,2.47172374183186,2085.998
"ranger_250_2_All",0.508456537223072,2.36878679529193,2085.998
"ranger_350_2_All",0.261696557754406,2.37259430444312,2085.998
"ranger_500_2_All",0,2.38655614228034,2085.998
"ranger_1000_2_All",0,2.38189338692798,2085.998
"ranger_1500_2_All",0,2.38009840868335,2085.998
"ranger_2000_2_All",0,2.37815384046696,2085.998
"ranger_2500_2_All",0,2.37382214068126,2085.998
"ranger_3000_2_All",0,2.38331414359599,2085.998
"ranger_4000_2_All",0,2.37887531134654,2085.998
"ranger_250_3_All",0,2.38292042448971,2085.998
"ranger_350_3_All",0,2.39366887313536,2085.998
"ranger_500_3_All",0.068745243620956,2.37261311829737,2085.998
"ranger_1000_3_All",0,2.37331868972994,2085.998
"ranger_1500_3_All",0,2.38114973052604,2085.998
"ranger_2000_3_All",0,2.37836889547373,2085.998
"ranger_2500_3_All",0,2.37862379379543,2085.998
"ranger_3000_3_All",0,2.38336048173983,2085.998
"ranger_4000_3_All",0,2.38012565923369,2085.998
"ranger_250_4_All",0,2.40105947474851,2085.998
"ranger_350_4_All",0,2.40623669854913,2085.998
"ranger_500_4_All",0,2.40750475013796,2085.998
"ranger_1000_4_All",0,2.40677457469887,2085.998
"ranger_1500_4_All",0,2.40133422231056,2085.998
"ranger_2000_4_All",0,2.3962735017714,2085.998
"ranger_2500_4_All",0,2.39695651686329,2085.998
"ranger_3000_4_All",0,2.40856664879035,2085.998
"ranger_4000_4_All",0,2.39500252643058,2085.998
"ranger_250_5_All",0,2.42764343485656,2085.998
"ranger_350_5_All",0,2.42966909325984,2085.998
"ranger_500_5_All",0,2.43595706031372,2085.998
"ranger_1000_5_All",0,2.41148333692304,2085.998
"ranger_1500_5_All",0,2.42176376252055,2085.998
"ranger_2000_5_All",0,2.42344525411417,2085.998
"ranger_2500_5_All",0,2.41926905354417,2085.998
"ranger_3000_5_All",0,2.41309242950944,2085.998
"ranger_4000_5_All",0,2.41364518291638,2085.998
"ranger_250_6_All",0,2.45240064281467,2085.998
"ranger_350_6_All",0,2.44358508689734,2085.998
"ranger_500_6_All",0,2.44365634506499,2085.998
"ranger_1000_6_All",0,2.42863603803755,2085.998
"ranger_1500_6_All",0,2.43222991233429,2085.998
"ranger_2000_6_All",0,2.44329542341808,2085.998
"ranger_2500_6_All",0,2.44075548113951,2085.998
"ranger_3000_6_All",0,2.44226957944212,2085.998
"ranger_4000_6_All",0,2.43895118906361,2085.998
"ranger_250_7_All",0,2.48040455213549,2085.998
"ranger_350_7_All",0,2.45854789307689,2085.998
"ranger_500_7_All",0,2.45966157516971,2085.998
"ranger_1000_7_All",0,2.45248463555485,2085.998
"ranger_1500_7_All",0,2.4529605509683,2085.998
"ranger_2000_7_All",0,2.44519515127934,2085.998
"ranger_2500_7_All",0,2.45460742954008,2085.998
"ranger_3000_7_All",0,2.44683190723299,2085.998
"ranger_4000_7_All",0,2.44951868441532,2085.998
"ranger_250_8_All",0,2.48741262550373,2085.998
"ranger_350_8_All",0,2.47787762168096,2085.998
"ranger_500_8_All",0,2.46519367075429,2085.998
"ranger_1000_8_All",0,2.47070729236923,2085.998
"ranger_1500_8_All",0,2.47073016330483,2085.998
"ranger_2000_8_All",0,2.46976144927667,2085.998
"ranger_2500_8_All",0,2.46415048618569,2085.998
"ranger_3000_8_All",0,2.4666239448436,2085.998
"ranger_4000_8_All",0,2.46870958854482,2085.998
"ranger_250_9_All",0,2.49446616180773,2085.998
"ranger_350_9_All",0.161101661401566,2.47300667779629,2085.998
"ranger_500_9_All",0,2.50076451464407,2085.998
"ranger_1000_9_All",0,2.47030233693387,2085.998
"ranger_1500_9_All",0,2.4836020107769,2085.998
"ranger_2000_9_All",0,2.48087400422767,2085.998
"ranger_2500_9_All",0,2.48094689037784,2085.998
"ranger_3000_9_All",0,2.48726095640602,2085.998
"ranger_4000_9_All",0,2.4868723822908,2085.998
