"","sl_cup_svm_1.coef","sl_cup_svm_1.cvRisk","sl_cup_svm_1.times.train.3."
"ksvm_rbfdot_0.5_6_All",0,1.19855678733071,293.159
"ksvm_rbfdot_0.6_6_All",0,1.19864297099718,293.159
"ksvm_rbfdot_0.7_6_All",0,1.21884147565988,293.159
"ksvm_rbfdot_2.5_6_All",0,1.19707845434561,293.159
"ksvm_rbfdot_3_6_All",0,1.19755537025218,293.159
"ksvm_rbfdot_3.5_6_All",0,1.2155747399394,293.159
"ksvm_rbfdot_0.001_8_All",0,1.22938322062445,293.159
"ksvm_rbfdot_0.01_8_All",0,1.25222989908698,293.159
"ksvm_rbfdot_0.1_8_All",0,1.22920539793569,293.159
"ksvm_rbfdot_0.2_8_All",0,1.26242135693783,293.159
"ksvm_rbfdot_0.3_8_All",0,1.25093812769468,293.159
"ksvm_rbfdot_0.4_8_All",0,1.25547993323944,293.159
"ksvm_rbfdot_0.5_8_All",0,1.27781335336492,293.159
"ksvm_rbfdot_0.6_8_All",0,1.23703596703662,293.159
"ksvm_rbfdot_0.7_8_All",0,1.23992596897855,293.159
"ksvm_rbfdot_2.5_8_All",0,1.24627817612661,293.159
"ksvm_rbfdot_3_8_All",0,1.24575342859803,293.159
"ksvm_rbfdot_3.5_8_All",0,1.23325384136369,293.159
"ksvm_rbfdot_0.001_10_All",0,1.29539712672464,293.159
"ksvm_rbfdot_0.01_10_All",0,1.28662008157523,293.159
"ksvm_rbfdot_0.1_10_All",0,1.27880782341103,293.159
"ksvm_rbfdot_0.2_10_All",0,1.28870847834259,293.159
"ksvm_rbfdot_0.3_10_All",0,1.31220166530271,293.159
"ksvm_rbfdot_0.4_10_All",0,1.2625384303039,293.159
"ksvm_rbfdot_0.5_10_All",0,1.27722936565339,293.159
"ksvm_rbfdot_0.6_10_All",0,1.28135744005414,293.159
"ksvm_rbfdot_0.7_10_All",0,1.25643930749464,293.159
"ksvm_rbfdot_2.5_10_All",0,1.28085000638477,293.159
"ksvm_rbfdot_3_10_All",0,1.31078856716322,293.159
"ksvm_rbfdot_3.5_10_All",0,1.26636704370024,293.159
"ksvm_rbfdot_0.001_100_All",0,2.07370614505462,293.159
"ksvm_rbfdot_0.01_100_All",0,2.05418868692597,293.159
"ksvm_rbfdot_0.1_100_All",0,2.0691841292212,293.159
"ksvm_rbfdot_0.2_100_All",0,2.01883229185893,293.159
"ksvm_rbfdot_0.3_100_All",0,2.05281038307897,293.159
"ksvm_rbfdot_0.4_100_All",0,2.06201602535479,293.159
"ksvm_rbfdot_0.5_100_All",0,2.08833403843569,293.159
"ksvm_rbfdot_0.6_100_All",0,2.05568977190894,293.159
"ksvm_rbfdot_0.7_100_All",0,2.0787365475682,293.159
"ksvm_rbfdot_2.5_100_All",0,2.0353686247338,293.159
"ksvm_rbfdot_3_100_All",0,2.04848981987025,293.159
"ksvm_rbfdot_3.5_100_All",0,2.06736260277704,293.159
"ksvm_rbfdot_0.001_1000_All",0,3.10011043163823,293.159
"ksvm_rbfdot_0.01_1000_All",0,3.10280756983584,293.159
"ksvm_rbfdot_0.1_1000_All",0,3.05536821604517,293.159
"ksvm_rbfdot_0.2_1000_All",0,3.13577385192343,293.159
"ksvm_rbfdot_0.3_1000_All",0,3.0676332798978,293.159
"ksvm_rbfdot_0.4_1000_All",0,3.07813095888143,293.159
"ksvm_rbfdot_0.5_1000_All",0,3.10745293676008,293.159
"ksvm_rbfdot_0.6_1000_All",0,3.10234168111387,293.159
"ksvm_rbfdot_0.7_1000_All",0,3.1700935881984,293.159
"ksvm_rbfdot_2.5_1000_All",0.0273193018532126,3.20509611168614,293.159
"ksvm_rbfdot_3_1000_All",0,3.1152811998569,293.159
"ksvm_rbfdot_3.5_1000_All",0,3.09417968859773,293.159
