,sl_cup_svm_1.coef,sl_cup_svm_1.cvRisk
ksvm_rbfdot_0.7_2_All,0,1.15545741407711
ksvm_rbfdot_0.3_1_All,0,1.15574103212769
ksvm_rbfdot_0.6_2_All,0,1.15747860166204
ksvm_rbfdot_3_1_All,0,1.15749096300061
ksvm_rbfdot_0.5_2_All,0,1.15808492439871
ksvm_rbfdot_0.5_1_All,0,1.15833515511812
ksvm_rbfdot_0.3_2_All,0,1.15843397633881
ksvm_rbfdot_2.5_0.7_All,0.0938252279475081,1.15895536025795
ksvm_rbfdot_0.2_2_All,0,1.15898802264674
ksvm_rbfdot_0.4_1_All,0,1.15900864134429
ksvm_rbfdot_0.2_1_All,0,1.15956352163871
ksvm_rbfdot_3.5_0.7_All,0.465853849051289,1.16000751926986
ksvm_rbfdot_3_0.7_All,0.00368038852277957,1.16013197586192
ksvm_rbfdot_0.1_0.7_All,0,1.16032445045145
ksvm_rbfdot_0.3_3_All,0,1.16053786179001
ksvm_rbfdot_0.7_1_All,0,1.16115593985301
ksvm_rbfdot_0.4_3_All,0,1.1613395446913
ksvm_rbfdot_0.4_2_All,0,1.16142007543303
ksvm_rbfdot_0.1_1_All,0,1.16218676700236
ksvm_rbfdot_3_3_All,0,1.16264647533843
ksvm_rbfdot_2.5_3_All,0,1.16306456415069
ksvm_rbfdot_0.6_3_All,0,1.16320637603209
ksvm_rbfdot_3.5_3_All,0,1.16325442885148
ksvm_rbfdot_2.5_2_All,0,1.16330004263441
ksvm_rbfdot_0.4_0.7_All,0,1.16342594144896
ksvm_rbfdot_0.1_3_All,0,1.16347604630299
ksvm_rbfdot_0.6_1_All,0,1.16374018307292
ksvm_rbfdot_3.5_2_All,0,1.1638522511441
ksvm_rbfdot_3_2_All,0,1.16412533144525
ksvm_rbfdot_0.5_3_All,0,1.16459861667528
ksvm_rbfdot_3.5_1_All,0,1.16502565734262
ksvm_rbfdot_0.2_0.7_All,0,1.16515737855822
ksvm_rbfdot_0.3_0.7_All,0,1.16523584243383
ksvm_rbfdot_0.2_3_All,0,1.16595269387737
ksvm_rbfdot_0.1_2_All,0,1.16638586344827
ksvm_rbfdot_2.5_1_All,0,1.16682275608748
ksvm_rbfdot_0.7_3_All,0,1.16738614320247
ksvm_rbfdot_0.6_0.7_All,0,1.16761077325021
ksvm_rbfdot_0.5_0.7_All,0,1.16942671121384
ksvm_rbfdot_0.7_0.7_All,0,1.17252317142356
ksvm_rbfdot_0.6_5_All,0,1.17291408660593
ksvm_rbfdot_0.7_5_All,0,1.17407442388578
ksvm_rbfdot_0.2_5_All,0,1.1743365743133
ksvm_rbfdot_2.5_5_All,0,1.17498536867679
ksvm_rbfdot_0.3_5_All,0,1.17777559028721
ksvm_rbfdot_3_5_All,0,1.18064282301974
ksvm_rbfdot_0.1_6_All,0.436640534478423,1.18100950444927
ksvm_rbfdot_0.1_5_All,0,1.18269977004131
ksvm_rbfdot_0.5_5_All,0,1.18310521359255
ksvm_rbfdot_0.7_6_All,0,1.18443292531173
ksvm_rbfdot_3.5_6_All,0,1.1877690895049
ksvm_rbfdot_3.5_5_All,0,1.18822875064508
ksvm_rbfdot_0.4_5_All,0,1.18913799122054
ksvm_rbfdot_0.2_6_All,0,1.18993616881956
ksvm_rbfdot_0.4_6_All,0,1.19233240924879
ksvm_rbfdot_0.3_6_All,0,1.19470658000994
ksvm_rbfdot_0.6_6_All,0,1.20556240585977
ksvm_rbfdot_0.5_6_All,0,1.21063248979968
ksvm_rbfdot_3_6_All,0,1.2157602420825
ksvm_rbfdot_2.5_6_All,0,1.21609019776676
ksvm_rbfdot_0.1_8_All,0,1.21978430645958
ksvm_rbfdot_3.5_8_All,0,1.22089433860399
ksvm_rbfdot_0.6_8_All,0,1.2283156782769
ksvm_rbfdot_0.3_8_All,0,1.23074349258411
ksvm_rbfdot_3_8_All,0,1.23755050208181
ksvm_rbfdot_2.5_8_All,0,1.23904378014264
ksvm_rbfdot_0.2_8_All,0,1.24085031384684
ksvm_rbfdot_0.5_8_All,0,1.2428424421793
ksvm_rbfdot_0.7_8_All,0,1.24410853229369
ksvm_rbfdot_0.1_0.3_All,0,1.24539704165821
ksvm_rbfdot_0.5_0.3_All,0,1.24563457135125
ksvm_rbfdot_0.4_0.3_All,0,1.2461375590253
ksvm_rbfdot_0.3_0.3_All,0,1.24750493751615
ksvm_rbfdot_3_0.3_All,0,1.2491619853056
ksvm_rbfdot_0.6_0.3_All,0,1.24933164004347
ksvm_rbfdot_0.7_0.3_All,0,1.25006185573851
ksvm_rbfdot_2.5_0.3_All,0,1.25450495172232
ksvm_rbfdot_3.5_0.3_All,0,1.25677295343137
ksvm_rbfdot_0.2_0.3_All,0,1.25720916414961
ksvm_rbfdot_0.1_10_All,0,1.25868333529392
ksvm_rbfdot_0.4_8_All,0,1.2685934838332
ksvm_rbfdot_0.7_10_All,0,1.2756841682559
ksvm_rbfdot_2.5_10_All,0,1.27661108334235
ksvm_rbfdot_3.5_10_All,0,1.27840230825927
ksvm_rbfdot_0.01_10_All,0,1.28288477374952
ksvm_rbfdot_3_10_All,0,1.28432349258969
ksvm_rbfdot_0.5_10_All,0,1.28502848246924
ksvm_rbfdot_0.2_10_All,0,1.2874726777884
ksvm_rbfdot_0.6_10_All,0,1.29155997983753
ksvm_rbfdot_0.4_10_All,0,1.29588139969991
ksvm_rbfdot_0.3_10_All,0,1.31284611712317
ksvm_rbfdot_0.3_0.1_All,0,1.49270505106074
ksvm_rbfdot_0.5_0.1_All,0,1.50783870258645
ksvm_rbfdot_3.5_0.1_All,0,1.51107765460647
ksvm_rbfdot_0.001_0.1_All,0,1.51234093559659
ksvm_rbfdot_0.1_0.1_All,0,1.51778188338609
ksvm_rbfdot_0.2_0.1_All,0,1.51809339280567
ksvm_rbfdot_0.7_0.1_All,0,1.52362024846404
ksvm_rbfdot_2.5_0.1_All,0,1.52401797691665
ksvm_rbfdot_0.4_0.1_All,0,1.53496242666655
ksvm_rbfdot_0.6_0.1_All,0,1.54853156951102
ksvm_rbfdot_3_0.1_All,0,1.5499440628027
