;sl_cup_glmnet_2.coef;sl_cup_glmnet_2.cvRisk
glmnet_0_1000_TRUE_All;0;3.73570269758179
glmnet_0.1_1000_TRUE_All;0;3.70931148918948
glmnet_0.2_1000_TRUE_All;0;3.71030724792025
glmnet_0.3_1000_TRUE_All;0;3.71081563444735
glmnet_0.4_1000_TRUE_All;0;3.71135017679075
glmnet_0.5_1000_TRUE_All;0;3.71165036906875
glmnet_0.6_1000_TRUE_All;0;3.71188426434591
glmnet_0.7_1000_TRUE_All;0;3.71211989122802
glmnet_0.8_1000_TRUE_All;0;3.71229365213115
glmnet_0.9_1000_TRUE_All;0;3.71241739000768
glmnet_1_1000_TRUE_All;0;3.71246745161185
glmnet_0_100_FALSE_All;0;3.93202858321043
glmnet_0.1_100_FALSE_All;0;3.87374238553715
glmnet_0.2_100_FALSE_All;0;3.89222783173795
glmnet_0.3_100_FALSE_All;0;3.85139829329595
glmnet_0.4_100_FALSE_All;0;3.90991738882248
glmnet_0.5_100_FALSE_All;0;3.917899948108
glmnet_0.6_100_FALSE_All;0;3.86200142302029
glmnet_0.7_100_FALSE_All;0;3.88942601207773
glmnet_0.8_100_FALSE_All;0;3.85678775939183
glmnet_0.9_100_FALSE_All;0;3.88117976179015
glmnet_1_100_FALSE_All;0;3.87401941336906
glmnet_0_200_FALSE_All;0;3.91164306033596
glmnet_0.1_200_FALSE_All;0;3.9098357415675
glmnet_0.2_200_FALSE_All;0;3.89239086500518
glmnet_0.3_200_FALSE_All;0;3.89839099111703
glmnet_0.4_200_FALSE_All;0;3.87576459864043
glmnet_0.5_200_FALSE_All;0;3.90904318779488
glmnet_0.6_200_FALSE_All;0;3.89109434863442
glmnet_0.7_200_FALSE_All;0;3.90686069325006
glmnet_0.8_200_FALSE_All;0;3.88801460746397
glmnet_0.9_200_FALSE_All;0;3.88845038651441
glmnet_1_200_FALSE_All;0;3.86685302845292
glmnet_0_300_FALSE_All;0;3.93937254677207
glmnet_0.1_300_FALSE_All;0;3.87738245284402
glmnet_0.2_300_FALSE_All;0;3.88507595978078
glmnet_0.3_300_FALSE_All;0;3.89740581677446
glmnet_0.4_300_FALSE_All;0;3.91766130161384
glmnet_0.5_300_FALSE_All;0;3.8999983513552
glmnet_0.6_300_FALSE_All;0;3.8760952891798
glmnet_0.7_300_FALSE_All;0;3.88241402667461
glmnet_0.8_300_FALSE_All;0;3.88754868591109
glmnet_0.9_300_FALSE_All;0;3.87104564333834
glmnet_1_300_FALSE_All;0;3.88999410298581
glmnet_0_400_FALSE_All;0;3.93557883528766
glmnet_0.1_400_FALSE_All;0;3.90757056504586
glmnet_0.2_400_FALSE_All;0;3.89706516232005
glmnet_0.3_400_FALSE_All;0;3.86999977324486
glmnet_0.4_400_FALSE_All;0;3.89784570388705
glmnet_0.5_400_FALSE_All;0;3.87999864914631
glmnet_0.6_400_FALSE_All;0;3.88631397930848
glmnet_0.7_400_FALSE_All;0;3.91036631234484
glmnet_0.8_400_FALSE_All;0;3.87308349770828
glmnet_0.9_400_FALSE_All;0;3.88444449800225
glmnet_1_400_FALSE_All;0;3.8934085813606
glmnet_0_500_FALSE_All;0;3.92984266498944
glmnet_0.1_500_FALSE_All;0;3.86062287314595
glmnet_0.2_500_FALSE_All;0;3.88173719871314
glmnet_0.3_500_FALSE_All;0;3.88864533581129
glmnet_0.4_500_FALSE_All;0;3.8682732417661
glmnet_0.5_500_FALSE_All;0;3.9245565514951
glmnet_0.6_500_FALSE_All;0;3.89063719102854
glmnet_0.7_500_FALSE_All;0;3.89705177060439
glmnet_0.8_500_FALSE_All;0;3.91387375752101
glmnet_0.9_500_FALSE_All;0;3.88877469774989
glmnet_1_500_FALSE_All;0;3.88046209508741
