,sl_cup_glmnet_1.coef,sl_cup_glmnet_1.cvRisk,,,
glmnet_0_100_TRUE_All,0,2.35499718593671,,,
glmnet_0_200_TRUE_All,0,2.35533183340845,,,
glmnet_0_300_TRUE_All,0,2.35546581145185,,,
glmnet_0_400_TRUE_All,0,2.35552532604536,,,
glmnet_0_1000_TRUE_All,0,2.35555149973223,,,
glmnet_0_900_TRUE_All,0,2.35555986420572,,,
glmnet_0_800_TRUE_All,0,2.35557033299749,,,
glmnet_0_700_TRUE_All,0,2.35558381549637,,,
glmnet_0_600_TRUE_All,0,2.3556016562816,,,
glmnet_0_500_TRUE_All,0,2.35565107111077,,,
glmnet_0.8_100_FALSE_All,0,2.39998717171499,,,
glmnet_0.1_100_FALSE_All,0,2.40374932488944,,,
glmnet_0.4_100_FALSE_All,0,2.40880545885422,,,
glmnet_0.7_400_FALSE_All,0,2.41256638444132,,,
glmnet_0.6_100_FALSE_All,0,2.41334958018302,,,
glmnet_0.6_300_FALSE_All,0,2.41571945577987,,,
glmnet_0.4_400_FALSE_All,0,2.41574529547195,,,
glmnet_0.9_100_FALSE_All,0,2.41782662184207,,,
glmnet_0.7_600_FALSE_All,0,2.418658326422,,,
glmnet_0.1_300_FALSE_All,0,2.41894679017952,,,
glmnet_0.5_700_FALSE_All,0,2.42033839012731,,,
glmnet_0.2_200_FALSE_All,0,2.42041289675985,,,
glmnet_0.5_600_FALSE_All,0,2.42047592212846,,,
glmnet_1_300_FALSE_All,0,2.42095295596323,,,
glmnet_1_100_FALSE_All,0,2.4210094614263,,,
glmnet_0.7_100_FALSE_All,0,2.42188629242697,,,
glmnet_0.4_200_FALSE_All,0,2.42276505509453,,,
glmnet_0.2_600_FALSE_All,0,2.4229995014934,,,
glmnet_1_200_FALSE_All,0,2.4232527235201,,,
glmnet_0.9_200_FALSE_All,0,2.42339378976883,,,
glmnet_0.1_200_FALSE_All,0,2.42417308537788,,,
glmnet_0.2_100_FALSE_All,0,2.42426993552592,,,
glmnet_0.5_100_FALSE_All,0,2.42448332071501,,,
glmnet_0.6_500_FALSE_All,0,2.42461787729495,,,
glmnet_0.2_300_FALSE_All,0,2.42493486019653,,,
glmnet_0.9_700_FALSE_All,0,2.42509437434113,,,
glmnet_0.5_400_FALSE_All,0,2.42511742457887,,,
glmnet_0.1_400_FALSE_All,0,2.4253736619617,,,
glmnet_0.8_300_FALSE_All,0,2.42568081945892,,,
glmnet_0.4_500_FALSE_All,0,2.42621837022451,,,
glmnet_0.5_200_FALSE_All,0,2.42708622964007,,,
glmnet_0.6_700_FALSE_All,0,2.42840252546664,,,
glmnet_0.7_500_FALSE_All,0,2.42904064242505,,,
glmnet_0.5_500_FALSE_All,0,2.42947962423833,,,
glmnet_0.8_600_FALSE_All,0,2.42952124121987,,,
glmnet_0.8_700_FALSE_All,0,2.42959735571745,,,
glmnet_0.8_400_FALSE_All,0,2.42994966916212,,,
glmnet_0.4_800_FALSE_All,0,2.43016121778835,,,
glmnet_0.3_200_FALSE_All,0,2.43032596868333,,,
glmnet_0.3_300_FALSE_All,0,2.430569026193,,,
glmnet_0.2_800_FALSE_All,0,2.43059348073362,,,
glmnet_0.5_300_FALSE_All,0,2.43142765477001,,,
glmnet_0.6_400_FALSE_All,0,2.43152371932604,,,
glmnet_1_500_FALSE_All,0,2.43182963498026,,,
glmnet_0.3_800_FALSE_All,0,2.43195653773586,,,
glmnet_0.9_300_FALSE_All,0,2.4321966684238,,,
glmnet_0.3_400_FALSE_All,0,2.43251312120282,,,
glmnet_0.9_900_FALSE_All,0,2.43324986830752,,,
glmnet_0.6_800_FALSE_All,0,2.43347789565625,,,
glmnet_0.6_200_FALSE_All,0,2.43361495760461,,,
glmnet_0.4_700_FALSE_All,0,2.43423693961349,,,
glmnet_0.4_300_FALSE_All,0,2.43492390301241,,,
glmnet_0.3_700_FALSE_All,0,2.43527787051242,,,
glmnet_0.7_700_FALSE_All,0,2.43600694429958,,,
glmnet_0.8_800_FALSE_All,0,2.43707649877073,,,
glmnet_0.9_600_FALSE_All,0,2.43718507738328,,,
glmnet_0.5_1000_FALSE_All,0,2.43762178634695,,,
glmnet_0.1_500_FALSE_All,0,2.43784594123732,,,
glmnet_1_400_FALSE_All,0,2.43791084157368,,,
glmnet_0.7_200_FALSE_All,0,2.43791279080452,,,
glmnet_0.4_600_FALSE_All,0,2.43864966373247,,,
glmnet_0.1_600_FALSE_All,0,2.43940058847433,,,
glmnet_0.7_300_FALSE_All,0,2.43963734149133,,,
glmnet_0.3_900_FALSE_All,0,2.43994391801053,,,
glmnet_0.3_500_FALSE_All,0,2.44022682313344,,,
glmnet_0.9_1000_FALSE_All,0,2.4402375740352,,,
glmnet_0.3_100_FALSE_All,0,2.44050271728807,,,
glmnet_0.1_800_FALSE_All,0,2.44094338927769,,,
glmnet_0.9_500_FALSE_All,0,2.44103498505994,,,
glmnet_0.3_600_FALSE_All,0,2.44147293640914,,,
glmnet_0.2_400_FALSE_All,0,2.44158762662266,,,
glmnet_0.2_500_FALSE_All,0,2.44198048793446,,,
glmnet_0.7_1000_FALSE_All,0,2.44309840331021,,,
glmnet_0.1_700_FALSE_All,0,2.44360739652587,,,
glmnet_1_600_FALSE_All,0,2.44362546464725,,,
glmnet_0.8_200_FALSE_All,0,2.44439032573258,,,
glmnet_0.8_900_FALSE_All,0,2.44479984289718,,,
glmnet_0.8_500_FALSE_All,0,2.44542935412747,,,
glmnet_0.1_1000_FALSE_All,0,2.44660950230936,,,
glmnet_0.5_900_FALSE_All,0,2.44700478533797,,,
glmnet_0.1_900_FALSE_All,0,2.44711843830436,,,
glmnet_1_900_FALSE_All,0,2.44757934933054,,,
glmnet_0.7_900_FALSE_All,0,2.44764087467666,,,
glmnet_0.4_1000_FALSE_All,0,2.44777583027557,,,
glmnet_1_700_FALSE_All,0,2.44800412808303,,,
glmnet_0.2_700_FALSE_All,0,2.44854605529712,,,
