,sl_cup_svm_2.coef,sl_cup_svm_2.cvRisk,sl_cup_svm_2.times.train.3.
ksvm_rbfdot_0.1_6_All,0,2.42348641087188,182.471000000001
ksvm_rbfdot_0.1_8_All,0,2.42456538076618,182.471000000001
ksvm_rbfdot_0.01_8_All,0,2.42891348512732,182.471000000001
ksvm_rbfdot_0.001_0.3_All,0,2.42907310667872,182.471000000001
ksvm_rbfdot_0.3_8_All,0,2.42951017400313,182.471000000001
ksvm_rbfdot_0.7_8_All,0,2.42955644466155,182.471000000001
ksvm_rbfdot_3.5_8_All,0,2.43494800096162,182.471000000001
ksvm_rbfdot_0.6_8_All,0,2.44017642675575,182.471000000001
ksvm_rbfdot_3_8_All,0,2.44352425696108,182.471000000001
ksvm_rbfdot_0.2_8_All,0,2.44526566262021,182.471000000001
ksvm_rbfdot_0.001_8_All,0,2.44603968010986,182.471000000001
ksvm_rbfdot_0.4_8_All,0,2.44765133920157,182.471000000001
ksvm_rbfdot_2.5_10_All,0.301309642403565,2.44937759392757,182.471000000001
ksvm_rbfdot_0.5_10_All,0,2.4494164075532,182.471000000001
ksvm_rbfdot_0.2_10_All,0,2.45629939418315,182.471000000001
ksvm_rbfdot_0.7_10_All,0,2.45650159207729,182.471000000001
ksvm_rbfdot_0.4_10_All,0,2.4580867541347,182.471000000001
ksvm_rbfdot_0.5_8_All,0,2.45869231689722,182.471000000001
ksvm_rbfdot_0.01_10_All,0,2.45975900372926,182.471000000001
ksvm_rbfdot_2.5_8_All,0,2.46055202825152,182.471000000001
ksvm_rbfdot_3.5_10_All,0,2.4648995826733,182.471000000001
ksvm_rbfdot_0.001_10_All,0,2.46959897355973,182.471000000001
ksvm_rbfdot_0.6_10_All,0,2.47328866950783,182.471000000001
ksvm_rbfdot_0.1_10_All,0,2.47546168851938,182.471000000001
ksvm_rbfdot_0.3_10_All,0,2.47818995111575,182.471000000001
ksvm_rbfdot_3_10_All,0,2.4809718120233,182.471000000001
ksvm_rbfdot_0.5_0.1_All,0.28451964928824,2.52469982182946,182.471000000001
ksvm_rbfdot_0.3_0.1_All,0,2.53018965670035,182.471000000001
ksvm_rbfdot_0.001_0.1_All,0,2.53705342932091,182.471000000001
ksvm_rbfdot_0.2_0.1_All,0,2.53789953689356,182.471000000001
ksvm_rbfdot_3.5_0.1_All,0,2.54458880671515,182.471000000001
ksvm_rbfdot_3_0.1_All,0,2.54769036272509,182.471000000001
ksvm_rbfdot_0.4_0.1_All,0,2.54875890872466,182.471000000001
ksvm_rbfdot_0.6_0.1_All,0,2.5492296113972,182.471000000001
ksvm_rbfdot_2.5_0.1_All,0,2.55024155471231,182.471000000001
ksvm_rbfdot_0.7_0.1_All,0,2.55049274689995,182.471000000001
ksvm_rbfdot_0.01_0.1_All,0,2.55325439595165,182.471000000001
ksvm_rbfdot_0.1_0.1_All,0,2.55892052060924,182.471000000001
ksvm_rbfdot_0.2_100_All,0,3.68367264729787,182.471000000001
ksvm_rbfdot_3_100_All,0,3.7061383808006,182.471000000001
ksvm_rbfdot_0.4_100_All,0,3.71921637066933,182.471000000001
ksvm_rbfdot_0.1_100_All,0,3.7515692692779,182.471000000001
ksvm_rbfdot_2.5_100_All,0,3.75379637850434,182.471000000001
ksvm_rbfdot_0.001_100_All,0,3.7638664253085,182.471000000001
ksvm_rbfdot_0.3_100_All,0,3.82442775486604,182.471000000001
ksvm_rbfdot_0.6_100_All,0,3.82733093360433,182.471000000001
ksvm_rbfdot_0.01_100_All,0,3.8344265112235,182.471000000001
ksvm_rbfdot_3.5_100_All,0,3.8778205987777,182.471000000001
ksvm_rbfdot_0.7_100_All,0,3.95546957374373,182.471000000001
ksvm_rbfdot_0.5_100_All,0,3.98713358052509,182.471000000001
ksvm_rbfdot_0.2_1000_All,0.0159497074166964,9.51708878973161,182.471000000001
ksvm_rbfdot_2.5_1000_All,0,9.72768019647344,182.471000000001
ksvm_rbfdot_0.5_1000_All,0,9.82099783873405,182.471000000001
ksvm_rbfdot_0.01_1000_All,0,9.83152999949781,182.471000000001
ksvm_rbfdot_3_1000_All,0,9.86310993082762,182.471000000001
ksvm_rbfdot_0.3_1000_All,0,9.90239784130306,182.471000000001
ksvm_rbfdot_0.7_1000_All,0,9.93200115128233,182.471000000001
ksvm_rbfdot_0.6_1000_All,0,9.97528531578796,182.471000000001
